timestamp,node_id,subsystem,sensor,parameter,value_raw,value_hrf
2020/05/01 17:25:25,001e06113107,chemsense,at0,temperature,2147.0,21.47
2020/05/01 17:25:25,001e06113107,chemsense,at1,temperature,2190.0,21.9
2020/05/01 17:25:25,001e06113107,chemsense,at2,temperature,2264.0,22.64
2020/05/01 17:25:25,001e06113107,chemsense,at3,temperature,2332.0,23.32
2020/05/01 17:25:25,001e06113107,chemsense,co,concentration,2645.0,-2.21321
2020/05/01 17:25:25,001e06113107,chemsense,h2s,concentration,1986.0,-0.00796
2020/05/01 17:25:25,001e06113107,chemsense,lps25h,temperature,-5387.0,-53.87
2020/05/01 17:25:25,001e06113107,chemsense,no2,concentration,2294.0,-0.01103
2020/05/01 17:25:25,001e06113107,chemsense,o3,concentration,1749.0,0.0
2020/05/01 17:25:25,001e06113107,chemsense,oxidizing_gases,concentration,24932.0,1.32667
2020/05/01 17:25:25,001e06113107,chemsense,reducing_gases,concentration,5080.0,-0.08964
2020/05/01 17:25:25,001e06113107,chemsense,so2,concentration,-245.0,-0.19777
2020/05/01 17:25:25,001e06113107,lightsense,hih6130,temperature,32600,42.08
2020/05/01 17:25:25,001e06113107,lightsense,tmp421,temperature,10160,39.69
2020/05/01 17:25:25,001e06113107,metsense,bmp180,temperature,25162,30.4
2020/05/01 17:25:25,001e06113107,metsense,htu21d,temperature,25620,21.84
2020/05/01 17:25:25,001e06113107,metsense,pr103j2,temperature,825,22.25
2020/05/01 17:25:25,001e06113107,metsense,tmp112,temperature,2841,22.19
2020/05/01 17:25:25,001e06113107,metsense,tsys01,temperature,9736410,22.63
2020/05/01 17:25:33,001e061183f3,lightsense,hih6130,temperature,65535,125.01
2020/05/01 17:25:33,001e061183f3,lightsense,tmp421,temperature,65535,-0.06
2020/05/01 17:25:33,001e061183f3,metsense,bmp180,temperature,65535,241.0
2020/05/01 17:25:33,001e061183f3,metsense,htu21d,temperature,65535,128.86
2020/05/01 17:25:33,001e061183f3,metsense,pr103j2,temperature,773,15.7
2020/05/01 17:25:33,001e061183f3,metsense,tmp112,temperature,65535,-254.0
2020/05/01 17:25:33,001e061183f3,metsense,tsys01,temperature,16777215,214.75
2020/05/01 17:25:34,001e0611804d,chemsense,at0,temperature,1545.0,15.45
2020/05/01 17:25:34,001e0611804d,chemsense,at1,temperature,1587.0,15.87
2020/05/01 17:25:34,001e0611804d,chemsense,at2,temperature,1643.0,16.43
2020/05/01 17:25:34,001e0611804d,chemsense,at3,temperature,1691.0,16.91
2020/05/01 17:25:34,001e0611804d,chemsense,co,concentration,3340.0,-0.43006
2020/05/01 17:25:34,001e0611804d,chemsense,h2s,concentration,-673.0,0.02089
2020/05/01 17:25:34,001e0611804d,chemsense,lps25h,temperature,1646.0,16.46
2020/05/01 17:25:34,001e0611804d,chemsense,no2,concentration,879.0,0.0
2020/05/01 17:25:34,001e0611804d,chemsense,o3,concentration,2660.0,0.02049
2020/05/01 17:25:34,001e0611804d,chemsense,oxidizing_gases,concentration,9831.0,0.54784
2020/05/01 17:25:34,001e0611804d,chemsense,reducing_gases,concentration,5474.0,0.02914
2020/05/01 17:25:34,001e0611804d,chemsense,so2,concentration,632.0,-0.24885
2020/05/01 17:25:34,001e0611804d,lightsense,hih6130,temperature,25437,24.05
2020/05/01 17:25:34,001e0611804d,lightsense,tmp421,temperature,5728,22.38
2020/05/01 17:25:34,001e0611804d,metsense,bmp180,temperature,27367,43.6
2020/05/01 17:25:34,001e0611804d,metsense,htu21d,temperature,23156,15.24
2020/05/01 17:25:34,001e0611804d,metsense,pr103j2,temperature,772,15.55
2020/05/01 17:25:34,001e0611804d,metsense,tmp112,temperature,1969,15.38
2020/05/01 17:25:34,001e0611804d,metsense,tsys01,temperature,9526906,15.51
2020/05/01 17:25:35,001e0611462f,lightsense,hih6130,temperature,28124,30.81
2020/05/01 17:25:35,001e0611462f,lightsense,tmp421,temperature,7616,29.75
2020/05/01 17:25:35,001e0611462f,metsense,bmp180,temperature,26768,40.1
2020/05/01 17:25:35,001e0611462f,metsense,htu21d,temperature,15548,-5.16
2020/05/01 17:25:35,001e0611462f,metsense,pr103j2,temperature,727,10.8
2020/05/01 17:25:35,001e0611462f,metsense,tmp112,temperature,1921,15.0
2020/05/01 17:25:35,001e0611462f,metsense,tsys01,temperature,9513164,15.04
2020/05/01 17:25:39,001e0610ee36,lightsense,hih6130,temperature,65535,125.01
2020/05/01 17:25:39,001e0610ee36,lightsense,tmp421,temperature,65535,-0.06
